💞 0710 check️,#genre#
慈湖水岸廣場,https://www.youtube.com/watch?v=pSQ0e-ZTZ5g
拉拉山遊客中心,https://www.youtube.com/watch?v=YkIUZjVlhv4
東眼山,https://www.youtube.com/watch?v=QU-A4DovlKc
中壢區,https://www.youtube.com/watch?v=LdPO_fq41Xs
後慈湖,https://www.youtube.com/watch?v=AF550Wx7Ba0
巴陵馬崙砲台,https://www.youtube.com/watch?v=3JzbzXqusDg
許厝港濕地,https://www.youtube.com/watch?v=44JArbF682k
阿姆坪薑母島,https://www.youtube.com/watch?v=EUOp2LchPQM


新竹,#genre#
新竹,https://www.youtube.com/watch?v=pUWjZsODbmU
清華大學大草坪,https://www.youtube.com/watch?v=x_FuMf2ke1o
清華大學成功湖,https://www.youtube.com/watch?v=Y6xJKj8k2ys
峨眉湖1,https://www.youtube.com/watch?v=AE1wiaqDZjw
峨眉湖2,https://www.youtube.com/watch?v=L9y1pwGktQg
香山豎琴橋,https://www.youtube.com/watch?v=ome-2KtG5pg



苗栗,#genre#
客家文化發展中心,https://www.youtube.com/watch?v=Maeh3TaU_oE
後龍好望角,https://www.youtube.com/watch?v=XAu_0Ws-llw
汶水遊客中心,https://www.youtube.com/watch?v=VgmWVBUsfGo
雪見遊憩區,https://www.youtube.com/watch?v=2KDE860OW_A
觀霧遊憩區,https://www.youtube.com/watch?v=Isp6RQiuxNo



台中,#genre#
高美濕地,https://www.youtube.com/watch?v=fjhg3gAnMFg
德基水庫,https://www.youtube.com/watch?v=ZayKvJKDPWc
梨山賓館,https://www.youtube.com/watch?v=QgSekwkBZ-8
梨山攬勝樓,https://www.youtube.com/watch?v=R1RjtxkkxPw
虎山巖金針花,https://www.youtube.com/watch?v=vTDmOvNLm1w
櫻緣丘,https://www.youtube.com/watch?v=RsQCjUQ3C24
望高寮,https://www.youtube.com/watch?v=lhXXhDyjFtI
八仙山國家森林遊樂區,https://www.youtube.com/watch?v=1rjWJXUopEw
洲際棒球重要路口,https://www.youtube.com/watch?v=ajugeOaR5nI



彰化,#genre#
八卦山大佛,https://www.youtube.com/watch?v=S6HB7-VLuRk
彰化平原,https://www.youtube.com/watch?v=RaTbGYKMUtk
王功漁港,https://www.youtube.com/watch?v=ABT9YRFUYXs
隘門,https://www.youtube.com/watch?v=cT8osP-vYps

南投,#genre#
合歡山武嶺亭,https://www.youtube.com/watch?v=Jx01B71j0wc
合歡山武嶺附近,https://www.youtube.com/watch?v=BiBNiJAW3dY
九蛙疊像,https://www.youtube.com/watch?v=XwvtSmTNEOg
伊達邵碼頭,https://www.youtube.com/watch?v=9aIfsgNn5Hg
清境的星空,https://www.youtube.com/watch?v=jBrA5hOrIYs
阿里山林業鐵路,https://www.youtube.com/watch?v=9bvE_IISEtM




雲林,#genre#
石榴火車站,https://www.youtube.com/watch?v=NA1hVcVgv74
萡子寮,https://www.youtube.com/watch?v=AXU3VLz9TsY




嘉義,#genre#
阿里山奮起湖,https://www.youtube.com/watch?v=B6eki-0-w0g
阿里山二延平步道,https://www.youtube.com/watch?v=j2L_559nCjc
太平雲梯,https://www.youtube.com/watch?v=dY2cRNr5Buw
生力農場,https://www.youtube.com/watch?v=agEzlv9n9Eg
牛埔仔愛情大草原,https://www.youtube.com/watch?v=hMYs60qtkK8
觸口遊客中心,https://www.youtube.com/watch?v=8KnqJBf_dow
東石漁人碼頭,https://www.youtube.com/watch?v=TrWoNJ-wcq8
布袋港,https://www.youtube.com/watch?v=iRP4yD50dM8


台南,#genre#
安平港1,https://www.youtube.com/watch?v=NArScAFatgk
安平港2,https://www.youtube.com/watch?v=cYJ37MA1Gus
黃金海岸,https://www.youtube.com/watch?v=uCXgNUJO9e8
七股賞鳥亭,https://www.youtube.com/watch?v=5KJe2gCTngA
北汕尾水鳥生態,https://www.youtube.com/watch?v=FES0gWTFUHQ
觀夕平台,https://www.youtube.com/watch?v=V89we9N3ZuU
火山碧雲寺,https://www.youtube.com/watch?v=zkX6X9p-6iA



高雄,#genre#
壽山情人觀景台,https://www.youtube.com/watch?v=C03Itx8iSC0
旗津海水浴場,https://www.youtube.com/watch?v=ka7FV0sCvxQ
蓮池潭,https://www.youtube.com/watch?v=BnPoNatG-HE
西子灣1,https://www.youtube.com/watch?v=6acILWj0pTY
西子灣2,https://www.youtube.com/watch?v=Wo1WPTiXCkIh
高雄流行音樂中心,https://www.youtube.com/watch?v=HFXS-_l1z5s
高雄港第二港口,https://www.youtube.com/watch?v=BUt8-jhtYJA
諦願寺六龜,https://www.youtube.com/watch?v=1IMPS7Ew_c0
旗津,https://www.youtube.com/watch?v=An0oUZBZtG0


屏東,#genre#
南灣,https://www.youtube.com/watch?v=jUnFuJSj0OU
船帆石,https://www.youtube.com/watch?v=GdSx9jyJO4c
船帆石沙灘,https://www.youtube.com/watch?v=7WOJMh_eSfY
船帆石海灣,https://www.youtube.com/watch?v=GdSx9jyJO4c
墾丁大灣,https://www.youtube.com/watch?v=l1BUJtoMfXE
墾丁大街牌樓,https://www.youtube.com/watch?v=l0MykkrTvo4
龍鑾潭,https://www.youtube.com/watch?v=IYArr607fdk
合界,https://www.youtube.com/watch?v=vG5wyKEv1G8
社皆坑海灣1,https://www.youtube.com/watch?v=6mQNyC-wJxs
社皆坑海灣2,https://www.youtube.com/watch?v=yedkfwdFRdc
後壁湖,https://www.youtube.com/watch?v=pmEp7abtH1o
後壁湖1,https://www.youtube.com/watch?v=GrF5RLHw6jE
後壁湖2,https://www.youtube.com/watch?v=2cdAciqP7Ng
山海漁港,https://www.youtube.com/watch?v=u_dXeSWRjlw
屏東平原眺景,https://www.youtube.com/watch?v=tEy9Wi7bcDU
枋寮漁港1,https://www.youtube.com/watch?v=9h1SDNk-6EQ
枋寮漁港2,https://www.youtube.com/watch?v=LLWu0qL4c_Q
海生館,https://www.youtube.com/watch?v=RmRJcXtailQ
佳樂水,https://www.youtube.com/watch?v=8bn_-PbneiI


台東,#genre#
綠島南寮漁港,https://www.youtube.com/watch?v=wTHhv7M0vCI
富岡漁港,https://www.youtube.com/watch?v=-Fr8zCPP_2o
金樽遊憩區,https://www.youtube.com/watch?v=ZdqHgQwvZOw
綠島帆船鼻,https://www.youtube.com/watch?v=pLdBc8PvZko
都歷遊客中心,https://www.youtube.com/watch?v=JhQuR77AR7U
池上天堂路,https://www.youtube.com/watch?v=6kUEK3LVrro
鹿野高台,https://www.youtube.com/watch?v=rvc1klNIgQc
富山,https://www.youtube.com/watch?v=Rsq95SQ26bY
娜路彎銀河酒店,https://www.youtube.com/watch?v=Yo64T79w6Vg
加路蘭遊憩區,https://www.youtube.com/watch?v=AKl3F6cAY2Q
三仙台,https://www.youtube.com/watch?v=dQ7Sd6PGLdA
綠島柴口浮潛區,https://www.youtube.com/watch?v=a8nJQr5rBGs
綠島南寮漁港,https://www.youtube.com/watch?v=wTHhv7M0vCI
石梯坪,https://www.youtube.com/watch?v=mXnigLvIL0Q
長虹橋,https://www.youtube.com/watch?v=JnD8Rk3o0BM
娜路彎銀河酒店,https://www.youtube.com/watch?v=Yo64T79w6Vg
多良車站,https://www.youtube.com/watch?v=UCG1aXVO8H8
華源曙光觀景台,https://www.youtube.com/watch?v=TY4qQElcUrA
南橫埡口,https://www.youtube.com/watch?v=LSkq-wHMxQY
金崙大橋,https://www.youtube.com/watch?v=9QqBz3kNHis
杉原灣,https://www.youtube.com/watch?v=VqS_Y8ZCj6M




花蓮,#genre#
忘憂亭,https://www.youtube.com/watch?v=Ic6hqus0tjA
六十石山,https://www.youtube.com/watch?v=DliL9uMtPrI
石梯坪,https://www.youtube.com/watch?v=mXnigLvIL0Q
大石鼻山,https://www.youtube.com/watch?v=JkoXcXI04Qk
七星潭,https://www.youtube.com/watch?v=qg-aHp2mvS8
壽豐花蓮大橋,https://www.youtube.com/watch?v=BDs9UIRw4zc
赤科山,https://www.youtube.com/watch?v=5GTFLN9gZrc
鯉魚潭,https://www.youtube.com/watch?v=aaKOV4qkDHw
七星潭賞星廣場,https://www.youtube.com/watch?v=ofNycC6kaNY



宜蘭,#genre#
大里1,https://www.youtube.com/watch?v=8YId9Ynwxys
大里2,https://www.youtube.com/watch?v=134cX-J-GXo
蘇澳1,https://www.youtube.com/watch?v=vNxgM5YMdVs
蘇澳2,https://www.youtube.com/watch?v=JJnyDUZtVFE
南方澳,https://www.youtube.com/watch?v=OSub6lw7kXE
南方澳第一漁港,https://www.youtube.com/watch?v=_u7baK7ct2M
南方澳第二漁港,https://www.youtube.com/watch?v=9uRumsWvvfE
南方澳第三漁港,https://www.youtube.com/watch?v=sqWrdNNAlrA
內埤仔海邊,https://www.youtube.com/watch?v=IHpSqQ5UylQ
進安宮,https://www.youtube.com/watch?v=nFd4550YnEQ
石城漁港,https://www.youtube.com/watch?v=tec5prJ8JeE
石城漁港1,https://www.youtube.com/watch?v=sFN4JMlhtSg
無尾港,https://www.youtube.com/watch?v=7S0lZRj9ViY
寒沐酒店即時影像,https://www.youtube.com/watch?v=cPh2vzrtG_w
太平山森林遊樂區,https://www.youtube.com/watch?v=zID3n2uSauU
太平山蹦蹦車站,https://www.youtube.com/watch?v=8ndOpLxiBLg
宜蘭外澳1,https://www.youtube.com/watch?v=S34aB8HzdnE
頭城濱海公園南側,https://www.youtube.com/watch?v=6DuufFTyR-Y
頭城合興,https://www.youtube.com/watch?v=5s3XHYu8Ob4


金門,#genre#
建功嶼,https://www.youtube.com/watch?v=uh_yNAE01w8
134高地,https://www.youtube.com/watch?v=-srNHTE-Nf0
慈湖三角堡,https://www.youtube.com/watch?v=SR-6i6S8plg




連江,#genre#
北竿,https://www.youtube.com/watch?v=6GXK2XMGgUc
西莒青帆港,https://www.youtube.com/watch?v=R3geopUJojU
東引中柱港,https://www.youtube.com/watch?v=v4DJZ-gWoCM
東引遊客中心外平台,https://www.youtube.com/watch?v=ZWXg8SyoGYs


澎湖,#genre#
北寮奎壁山,https://www.youtube.com/watch?v=zgPJbQzlQmw
觀音亭,https://www.youtube.com/watch?v=tJSJMfxfivY
觀音亭海灣1,https://www.youtube.com/watch?v=AFhDLutdwAc
觀音亭海灣2,https://www.youtube.com/watch?v=fSE1qhkmadU
鎖港海灣,https://www.youtube.com/watch?v=dHyIphM2vo8
青灣1,https://www.youtube.com/watch?v=sJ7NWs2uK_I


日本,#genre#
LIVE cameras around Japan,https://www.youtube.com/watch?v=gCu45mPX77Y
Tokyo Bay,https://www.youtube.com/watch?v=_k-5U7IeK8g
Tokyo Odaiba,https://www.youtube.com/watch?v=qYRdGZ1jSjo
渋谷スクランブル交差点,https://www.youtube.com/watch?v=tujkoXI8rWM
大阪道頓堀,https://www.youtube.com/watch?v=1IB96p46tjE
新宿駅前,https://www.youtube.com/watch?v=glJu8snzi78
西武新宿駅 pepe前広場,https://www.youtube.com/watch?v=lA6TaaMGgDo
新宿歌舞伎町1,https://www.youtube.com/watch?v=gFRtAAmiFbE
新宿歌舞伎町2,https://www.youtube.com/watch?v=DjdUEyjx8GM
歌舞伎町,https://www.youtube.com/watch?v=EHkMjfMw7oU
歌舞伎町-交差点,https://www.youtube.com/watch?v=ErHJBXTmm2Q
函館山,https://www.youtube.com/watch?v=s--MDmshT3I
東京・汐留,https://www.youtube.com/watch?v=VM18f-IIUTw
東京湾の海と空,https://www.youtube.com/watch?v=HfbQFh8B2lU
浅草-隅田川,https://www.youtube.com/watch?v=MwcMURMzJ7A
お台場海浜公園-屋形船,https://www.youtube.com/watch?v=dJZBqTeC-h8
お台場東京,https://www.youtube.com/watch?v=fGOCRGXPgRY
お台場ライブカメラ,https://www.youtube.com/watch?v=ZhZifHif-Vw
東京タワー&鉄道,https://www.youtube.com/watch?v=Tz8NEpxF6zY
広重の富士山,https://www.youtube.com/watch?v=GsD9QQEKSzQ
湘南-鎌倉,https://www.youtube.com/watch?v=Rubm56dwZMA
河口湖からの富士山,https://www.youtube.com/watch?v=1cnReFAU04k
河口湖大石公園,https://www.youtube.com/watch?v=bdUbACCWmoY
河口湖,https://www.youtube.com/watch?v=oe7SMLOEQk0
富士山,https://www.youtube.com/watch?v=Sv9hcJ3k5h4
精進湖,https://www.youtube.com/watch?v=so_3HK9HIdg
芦ノ湖,https://www.youtube.com/watch?v=maMMEh-2Bsk
静岡県富士市から,https://www.youtube.com/watch?v=ViHMZfmURiw
上高地河童橋,https://www.youtube.com/watch?v=Iv2VUE_UhRQ
Niseko Hanazono Resort,https://www.youtube.com/watch?v=1ksmiy6EsDo
銀座数寄屋橋交差点,https://www.youtube.com/watch?v=1Xm5bjdI5hU
浅草・雷門前,https://www.youtube.com/watch?v=LnrmP3Z1M-s
横浜 みなとみらい,https://www.youtube.com/watch?v=x3P3N3VGvtU
福岡・博多駅前,https://www.youtube.com/watch?v=yETDDgrE2E4
千葉市内,https://www.youtube.com/watch?v=vaifJWjqu0k
東京・築地湾岸,https://www.youtube.com/watch?v=bKVGdsMVuMA
青森放送,https://www.youtube.com/watch?v=atYdXZFROow
阿蘇中岳・草千里,https://www.youtube.com/watch?v=rF8hCVrU3VU
北海道札幌放送,https://www.youtube.com/watch?v=c6Gqe6L_xZg
大通公園,https://www.youtube.com/watch?v=kfIQBC0hrII
小樽天狗山,https://www.youtube.com/watch?v=X5Ew8btlVbQ
狸小路八条,https://www.youtube.com/watch?v=CF1vS8DdBIk
草津温泉湯畑湯滝前,https://www.youtube.com/watch?v=GrEEoEmmrKs
草津温泉湯畑,https://www.youtube.com/watch?v=B_Sc1v1qR-g
江ノ島-富士山,https://www.youtube.com/watch?v=Rubm56dwZMA
新宿鉄道,https://www.youtube.com/watch?v=GLQhbRGv5qU
浜松町駅,https://www.youtube.com/watch?v=W0V8-6WrgBY
新宿 大ガード交差点,https://www.youtube.com/watch?v=6dp-bvQ7RWo
渋谷,https://www.youtube.com/watch?v=f50R4vDlCmA
神戸ウォーターフロント,https://www.youtube.com/watch?v=AU_2zfM4m68
石川県・兼六園,https://www.youtube.com/watch?v=ZpzNv_hNxPE
北海道神宮 頓宮,https://www.youtube.com/watch?v=icMG4FEFg9w
ＪＲ札幌駅,https://www.youtube.com/watch?v=I1kJB1jdGo0
JR札幌車站,https://www.youtube.com/watch?v=gaNLXSEUVRw
大通公園,https://www.youtube.com/watch?v=O7aL3u5n1gQ
Sapporo Japan,https://www.youtube.com/watch?v=38rSYDm-yTk
北海道札幌,https://www.youtube.com/watch?v=WUN-183KH7M
北広島市,https://www.youtube.com/watch?v=C28jH3sU2M8
大倉山ジャンプ競技場,https://www.youtube.com/watch?v=LS-Lj8Ykz0g
沖縄・那覇空港,https://www.youtube.com/watch?v=h3pbOPE3kLs
那覇市内,https://www.youtube.com/watch?v=6HYjCFkmDPA
能登鹿島駅周辺,https://www.youtube.com/watch?v=THy9p2xJSek
大阪Expo2025,https://www.youtube.com/watch?v=7lcPQ97iv5I
大阪の夜景を定点観測,https://www.youtube.com/watch?v=-Vck0hn-zqk
東京有明臨海基地,https://www.youtube.com/watch?v=4T-ARSiV53g
善光寺,https://www.youtube.com/watch?v=HvJdPF46kak
京都東本願寺前,https://www.youtube.com/watch?v=AoRAAex6nBk
桜島遠景,https://www.youtube.com/watch?v=eF9PohrRP_o
鹿児島県垂水市,https://www.youtube.com/watch?v=PeElJClXtzE
桜島-火口1,https://www.youtube.com/watch?v=Mfq8V8uE0SU
桜島-火口2,https://www.youtube.com/watch?v=NfR1Y-mYEtg
淡路島,https://www.youtube.com/watch?v=lsxYH2XQQCg
羽田空港 第1ターミナル,https://www.youtube.com/watch?v=2f9NOSw-FqM
羽田空港 第2ターミナル,https://www.youtube.com/watch?v=2Cd5tuB4vjU
羽田空港×東京湾,https://www.youtube.com/watch?v=DLsYMox4rCY
新千歳空港,https://www.youtube.com/watch?v=Azbdr5jbN6o
和歌山県白浜町,https://www.youtube.com/watch?v=Bv6pTaelhyk
草津温泉西の河原,https://www.youtube.com/watch?v=RT_yg_qsK_M
北海道旭川市,https://www.youtube.com/watch?v=0NAE8CwRQ68







韓國,#genre#
Seoul Korea Hangang,https://www.youtube.com/watch?v=-JhoMGoAfFc
SEOUL LIVE,https://www.youtube.com/watch?v=ahSMyLJcp48
首爾鋼琴現場攝影機,https://www.youtube.com/watch?v=zpCZ9OFjb3U
Seoul Station Plaza,https://www.youtube.com/watch?v=SAeNEECjC2U
Gwanghwamun Boulevard,https://www.youtube.com/watch?v=zuWxsbV-mlA
景福宫,https://www.youtube.com/watch?v=K0OdTZyUjUc
Homigot Sunrise Square,https://www.youtube.com/watch?v=8HOO7IJiMi8
Gangmoon beach,https://www.youtube.com/watch?v=8NdFS7Dpfzg
Seokchon Lake,https://www.youtube.com/watch?v=UYziFFSzzMo
Lotte World,https://www.youtube.com/watch?v=JIQPCfb9Qs0
Mapo Bridge,https://www.youtube.com/watch?v=LKx5cq0kggU
Jamsil Bridge,https://www.youtube.com/watch?v=ZopiySgQjsc
SEOUL DDP LIVE CAMEARA,https://www.youtube.com/watch?v=k3HEPqg5eAo
ExpoSciencePark,https://www.youtube.com/watch?v=bKcdTWp6akg
Gwanggyo Lake Park,https://www.youtube.com/watch?v=IhO0ICVe4KQ
釜山廣安大橋,https://www.youtube.com/watch?v=E9I4A9aXJUY
蘆原堂賢川,https://www.youtube.com/watch?v=wv6CeCvZJ9U
丹賢川景觀,https://www.youtube.com/watch?v=SnxO8qonKU4
蘆原佛岩山全景,https://www.youtube.com/watch?v=9eDa-ol9hUQ
蘆原佛岩山瞭望台,https://www.youtube.com/watch?v=X9xOrnOv9BM
佛岩山蘆原1,https://www.youtube.com/watch?v=1cxahiPPeSo
佛岩山蘆原2,https://www.youtube.com/watch?v=04ZGL3eIpOU
NowonStation1,https://www.youtube.com/watch?v=_fFXB0Pki7A
NowonStation2,https://www.youtube.com/watch?v=owzlCdloD1I
Azalea Garden,https://www.youtube.com/watch?v=YqS3GEcrYqg
Sokcho Beach,https://www.youtube.com/watch?v=QmqJKE9uYXU
Gyeongbokgung,https://www.youtube.com/watch?v=K0OdTZyUjUc
Haeundae Busan,https://www.youtube.com/watch?v=MWYxOlqF7E8





國外,#genre#
LIVE daily camera Bratislava Slovakia,https://www.youtube.com/watch?v=KN8GssBk0k8
Earth and space,https://www.youtube.com/watch?v=fO9e9jnhYK8
Live NASA,https://www.youtube.com/watch?v=QviXe8xvA50
San Francisco Skyline,https://www.youtube.com/watch?v=BSWhGNXxT9A
聖誕老人村,https://www.youtube.com/watch?v=Cp4RRAEgpeU
So many LIVE World Cameras,https://www.youtube.com/watch?v=2BLqhS59Elc
The World Live,https://www.youtube.com/watch?v=HfgIFGbdGJ0
Rolling Cam around the World,https://www.youtube.com/watch?v=z7SiAaN4ogw
New England Fall Colors,https://www.youtube.com/watch?v=Nl74W1nkMFU
Dublin Ireland,https://www.youtube.com/watch?v=u4UZ4UvZXrg
Times Square,https://www.youtube.com/watch?v=rnXIjl_Rzy4
London Abbey Road,https://www.youtube.com/watch?v=57w2gYXjRic
Bryant Park NYC,https://www.youtube.com/watch?v=809RMryNnlM
Bryant Park,https://www.youtube.com/watch?v=g4CmWNxgsic
Russia Petersburg,https://www.youtube.com/watch?v=h1wly909BYw
CritterVision Critter Cam,https://www.youtube.com/watch?v=HlJ4aRtYhoo
Brownville's Food Pantry For Deer,https://www.youtube.com/watch?v=XwLug9jR7lA
Finland Northern Light Live Kilpisjärvi,https://www.youtube.com/watch?v=ccTVAhJU5lg
Finland Zero Point Rental,https://www.youtube.com/watch?v=LwihxyJ4V20
USA Live Cam,https://www.youtube.com/watch?v=fa8iGVeri_I
Miami Cruise Ship Departures,https://www.youtube.com/watch?v=os3QxtU_ZrQ
Michigan USA,https://www.youtube.com/watch?v=TkY4BzCikQ4
